,SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
424,53719,POWELL & MAHONEY HOT TODDY,0,,5.99,0,422,43,,7,0,1,1,0,,POWELL & MAHONEY HOT TODDY 750 ML
425,53724,GREAT DIVIDE OLD RUFFIAN 6/4PK,6,,3.5,0,607,21,1,,0,1,0,2,70203,GREAT DIVIDE OLD RUFFIAN 6/4PK SINGLE
426,53727,ELYSIAN GREAT PUMPKIN 22OZ ,0,,8.99,0,607,21,,20,0,1,0,0,,ELYSIAN GREAT PUMPKIN 22OZ  22 OZ
427,53729,WHITE PIKE WHISKEY ,0,,42.99,6,262,18,,7,0,1,0,0,,WHITE PIKE WHISKEY  750 ML
428,53730,NEW HOLLAND MALT HOUSE ,0,,45.99,3,262,18,,7,0,1,0,0,,NEW HOLLAND MALT HOUSE  750 ML
429,53731,NEW HOLLAND WALLEYE RYE ,0,,45.99,1,262,18,,7,0,1,0,0,,NEW HOLLAND WALLEYE RYE  750 ML
430,53733,TROY & SONS BLONDE WHISKEY ,0,,43.99,2,204,18,,7,0,1,0,0,,TROY & SONS BLONDE WHISKEY  750 ML
431,53734,FEW CASK STRENGTH  BOURBON,0,,59.99,0,262,18,,7,0,1,0,0,,FEW CASK STRENGTH  BOURBON [CASK STRENGTH] 750 ML
432,53736,ROGUE CHAT ROGUE WHISKEY ,0,,42.99,3,204,18,,7,0,1,0,0,,ROGUE CHAT ROGUE WHISKEY  750 ML
433,53760,EL LEON VINO TINTO,0,,7.99,3,411,41,,7,0,1,0,0,,EL LEON VINO TINTO 750 ML
434,53764,MOA BREWING NOIR 12OZ SNG,0,,5.25,10,607,21,,15,0,1,0,0,,MOA BREWING NOIR 12OZ SNG 12 OZ
435,53765,EXTRAOMNES ZEST ALE 11.2OZ,0,,6.99,6,607,21,,,0,1,0,0,,EXTRAOMNES ZEST ALE 11.2OZ
436,53766,COPPER FOX BLUE TOP RYE WHISKY,0,,96.99,2,262,18,,7,0,1,0,0,,COPPER FOX BLUE TOP RYE WHISKY 750 ML
437,53768,TOM'S FOOLERY RYE,0,,49.99,3,262,18,,7,0,1,0,0,,TOM'S FOOLERY RYE 750 ML
438,53777,MOCAMBO MUSKET PISTOL,0,,31.99,3,282,23,,4,0,1,0,0,,MOCAMBO MUSKET PISTOL 200 ML
439,53785,VALENZANO SANTA'S LIL HELPER,0,,9.99,0,640,61,,7,0,1,0,0,,VALENZANO SANTA'S LIL HELPER 750 ML
440,53794,GUINNESS 200 ANNIV STOUT CASE,6,,9.49,0,614,21,3,,0,1,0,1,73803,GUINNESS 200 ANNIV STOUT CASE 6-PACK
441,53795,GUINNESS 200 ANNIV STOUT CASE,6,,1.75,5,614,21,1,,0,1,0,2,73803,GUINNESS 200 ANNIV STOUT CASE SINGLE
442,53803,GUINNESS 200 ANNIV STOUT CASE,6,,34.99,0,614,21,8,,0,1,0,0,73803,GUINNESS 200 ANNIV STOUT CASE 24-PACK
443,53813,DIMMI LIQUORE DI MILANO,0,,33.99,6,292,27,,7,0,1,0,0,,DIMMI LIQUORE DI MILANO 750 ML
444,53815,DR MCGILLICUDDY APPLE PIE,0,,16.99,9,293,27,,7,0,1,0,0,,DR MCGILLICUDDY APPLE PIE 750 ML
445,53834,SCHWARTZHOG GERMAN LIQUEUR,0,,18.99,6,292,27,,7,0,1,0,0,,SCHWARTZHOG GERMAN LIQUEUR 750 ML
446,53848,LA GHOUTTE D'OR CHAT ROUGE16OZ,0,,6.99,8,615,21,,16,0,1,0,0,,LA GHOUTTE D'OR CHAT ROUGE16OZ 16 OZ
447,53860,HORNY GOAT CHOC P.B. PORTER ,6,,2.5,0,607,21,1,,0,1,0,2,82144,HORNY GOAT CHOC P.B. PORTER  SINGLE
448,53890,MOLSON ICE LOOSE CAN CASE,0,,21.99,4,612,21,,15,0,1,0,0,,MOLSON ICE LOOSE CAN CASE 12 OZ
449,53902,HIGH WEST 7000 PEACH VODKA ,0,,35.99,10,289,26,,7,0,1,0,0,,HIGH WEST 7000 PEACH VODKA  750 ML
450,53903,LAGUNITAS IPA 12PK ,6,,19.99,0,607,21,6,,0,1,0,1,77618,LAGUNITAS IPA 12PK  12-PACK
451,53920,TONA 12OZ CASE,6,,29.99,3,623,21,8,15,0,1,0,0,73920,TONA 12OZ CASE 12 OZ 24-PACK
452,53921,TONA 12OZ NR 6 PACK,6,,7.99,0,623,21,3,15,0,1,0,1,73920,TONA 12OZ NR 6 PACK 12 OZ 6-PACK
453,53922,TONA 12OZ NR SNG,6,,2.0,0,623,21,1,15,0,1,0,2,73920,TONA 12OZ NR SNG 12 OZ SINGLE
454,53929,SIERRA NEVADA PALE ALE 1/2 KEG,0,,185.0,1,529,21,,29,0,1,0,0,,SIERRA NEVADA PALE ALE 1/2 KEG KEG
