SKU,COST,MARGIN,QUANTITY
55803,1.18,0.262729679227655,14.0
55824,1.4700000000000002,0.21833333333333335,7.0
55851,7.68,0.3011828935395815,1.0
55942,8.5,0.22656960873521384,1.0
55955,5.38,0.2303290414878398,5.0
55962,3.46,0.30661322645290584,1.0
56051,10.38,0.2009237875288683,1.0
56080,1.05,0.3,2.0
56087,1.4,0.44000000000000006,1.0
56094,5.67,0.18884120171673824,2.0
56095,5.67,0.18884120171673824,1.0
56149,4.29,0.46307884856070086,1.0
56224,8.07,0.2656960873521383,1.0
56225,0.9899999999999999,0.5025125628140703,3.0
56229,1.38,0.30653266331658297,2.0
56235,4.99,0.37546933667083854,2.0
56243,1.59,0.2946023535967149,8.0
56269,1.887142857142857,0.3688485427615862,23.0
56341,1.43,0.5217391304347827,1.0
56343,4.95,0.09836065573770492,1.0
56355,12.0,0.3680884676145339,1.0
56393,15.2,0.2758456407813244,1.0
56394,23.0,0.2066229734391169,1.0
56407,1.5,0.24623115577889448,10.0
56435,6.92,0.2302558398220245,1.0
56469,6.67,0.39308462238398545,2.0
56520,8.12,0.26114649681528673,2.0
56566,4.77,0.31759656652360524,3.0
56581,1.59,0.3614457831325301,8.0
56584,1.38,0.30653266331658297,3.0
56592,6.65,0.22131147540983595,2.0
56623,29.0,0.21600432549337664,1.0
56688,7.1,0.4534257120862202,2.0
56716,6.48,0.27919911012235815,2.0
56728,7.88,0.21121121121121122,3.0
56790,1.75,0.2971887550200804,35.0
56825,17.66,0.2933173269307723,1.0
56841,6.0,0.16550764951321284,1.0
56863,6.0,0.33259176863181317,1.0
56865,14.0,0.2885269761061742,7.0
56866,15.5,0.08769864626250727,1.0
56912,6.56,0.3433433433433434,1.0
56921,68.0,0.204585331617733,1.0
56987,17.5,0.07846234860452862,1.0
56992,9.55,0.20350291909924934,4.0
57031,8.16,0.1831831831831832,3.0
57059,21.0,0.382171226831421,1.0
57060,3.5,0.41569282136894825,11.0
57088,10.76,0.230879199428163,3.0
57101,17.5,0.20418371987266934,1.0
