,item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift,SKU_x,costA,marginA,quantityA,groupA,costA_L,marginA_L,quantityA_L,SKU_y,costB,marginB,quantityB,groupB,costB_L,marginB_L,quantityB_L,MONTH
172,70920,70921,3,0.10152284263959391,8,0.2707275803722504,29,0.9813874788494078,0.375,0.10344827586206896,0.38211206896551725,70920,11.090000000000002,0.07506255212677232,32.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,70921,11.089999999999995,0.0750625521267723,110.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
173,70921,69535,6,0.20304568527918782,29,0.9813874788494078,16,0.5414551607445008,0.20689655172413793,0.375,0.38211206896551725,70921,11.089999999999995,0.0750625521267723,110.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,69535,11.090000000000002,0.0750625521267723,72.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
174,70994,69535,4,0.1353637901861252,20,0.676818950930626,16,0.5414551607445008,0.2,0.25,0.369375,70994,32.08999999999998,0.02728099424067893,59.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,69535,11.090000000000002,0.0750625521267723,72.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
175,71579,69535,3,0.10152284263959391,56,1.895093062605753,16,0.5414551607445008,0.05357142857142857,0.1875,0.09893973214285715,71579,20.0,0.09049567985447916,145.0,3,6.282538526190433,0.23629537717491778,185.73684210526315,69535,11.090000000000002,0.0750625521267723,72.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
176,69685,68952,3,0.10152284263959391,16,0.5414551607445008,15,0.5076142131979695,0.1875,0.2,0.369375,69685,1.1000000000000003,0.3642778366814457,57.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,68952,1.0199999999999998,0.4843079868205498,33.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
177,71161,68952,5,0.1692047377326565,75,2.5380710659898478,15,0.5076142131979695,0.06666666666666667,0.33333333333333337,0.13133333333333336,71161,1.1800000000000035,0.202057100916853,250.0,3,6.282538526190433,0.23629537717491778,185.73684210526315,68952,1.0199999999999998,0.4843079868205498,33.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
178,71315,70855,4,0.1353637901861252,46,1.5566835871404399,7,0.23688663282571912,0.08695652173913043,0.5714285714285714,0.3670807453416149,71315,20.0,0.09049567985447916,117.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,70855,20.0,0.0904956798544792,38.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
179,71315,71596,3,0.10152284263959391,46,1.5566835871404399,10,0.338409475465313,0.06521739130434782,0.3,0.1927173913043478,71315,20.0,0.09049567985447916,117.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71596,22.0,0.04306220095693772,21.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
180,71315,71298,3,0.10152284263959391,46,1.5566835871404399,20,0.676818950930626,0.06521739130434782,0.15,0.0963586956521739,71315,20.0,0.09049567985447916,117.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71298,20.897368421052626,0.09102355715299544,100.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
181,70325,71298,3,0.10152284263959391,18,0.6091370558375634,20,0.676818950930626,0.16666666666666669,0.15,0.24625000000000005,70325,18.0,0.05213270142180087,31.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,71298,20.897368421052626,0.09102355715299544,100.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
182,71579,71298,3,0.10152284263959391,56,1.895093062605753,20,0.676818950930626,0.05357142857142857,0.15,0.07915178571428572,71579,20.0,0.09049567985447916,145.0,3,6.282538526190433,0.23629537717491778,185.73684210526315,71298,20.897368421052626,0.09102355715299544,100.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
183,71154,71156,4,0.1353637901861252,14,0.47377326565143824,23,0.7783417935702199,0.2857142857142857,0.17391304347826086,0.3670807453416149,71154,14.0,0.06604402935290195,22.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,71156,14.0,0.06604402935290196,63.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
184,70064,71156,3,0.10152284263959391,17,0.5752961082910322,23,0.7783417935702199,0.1764705882352941,0.13043478260869565,0.22672634271099742,70064,7.009999999999998,0.12265331664580735,64.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71156,14.0,0.06604402935290196,63.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
185,70931,71405,5,0.1692047377326565,14,0.47377326565143824,29,0.9813874788494078,0.35714285714285715,0.17241379310344826,0.36391625615763545,70931,17.0,0.10479199578725633,34.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,71405,25.09,0.034628703347441274,52.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
186,71406,71405,4,0.1353637901861252,51,1.7258883248730965,29,0.9813874788494078,0.0784313725490196,0.13793103448275862,0.07991886409736308,71406,1.2000000000000015,0.536016703398677,159.0,3,6.282538526190433,0.23629537717491778,185.73684210526315,71405,25.09,0.034628703347441274,52.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
187,70421,71405,4,0.1353637901861252,24,0.8121827411167513,29,0.9813874788494078,0.16666666666666666,0.13793103448275862,0.16982758620689656,70421,18.0,0.05213270142180089,61.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71405,25.09,0.034628703347441274,52.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
188,70397,71405,3,0.10152284263959391,66,2.233502538071066,29,0.9813874788494078,0.045454545454545456,0.10344827586206896,0.04631661442006269,70397,1.3634285714285694,0.4008505492331325,123.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71405,25.09,0.034628703347441274,52.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
189,70931,71071,3,0.10152284263959391,14,0.47377326565143824,20,0.676818950930626,0.21428571428571427,0.15,0.31660714285714286,70931,17.0,0.10479199578725633,34.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,71071,13.68,0.08739159439626412,40.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
190,71250,71071,4,0.1353637901861252,57,1.9289340101522845,20,0.676818950930626,0.07017543859649122,0.2,0.10368421052631578,71250,13.680000000000007,0.08739159439626402,116.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71071,13.68,0.08739159439626412,40.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
191,71602,71296,21,0.7106598984771574,33,1.116751269035533,53,1.793570219966159,0.6363636363636364,0.39622641509433965,0.35480274442538595,71602,4.5,0.2363865926946809,49.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71296,3.5500000000000065,0.28062108236762545,104.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
192,71390,71296,13,0.4399323181049069,38,1.2859560067681897,53,1.793570219966159,0.3421052631578947,0.24528301886792453,0.1907398212512413,71390,7.699999999999991,0.1020279272808204,76.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71296,3.5500000000000065,0.28062108236762545,104.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
193,71347,71296,10,0.338409475465313,28,0.9475465313028765,53,1.793570219966159,0.35714285714285715,0.18867924528301888,0.19912398921832886,71347,2.0499999999999985,0.3134759644825473,42.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,71296,3.5500000000000065,0.28062108236762545,104.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
194,71288,71296,6,0.20304568527918782,111,3.7563451776649748,53,1.793570219966159,0.05405405405405405,0.11320754716981132,0.030137684854665985,71288,0.3664071856287416,0.6309654375459591,215.0,3,6.282538526190433,0.23629537717491778,185.73684210526315,71296,3.5500000000000065,0.28062108236762545,104.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
