SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
58227,TAITTINGER BRUT ROSE ,0,,79.99,12,297,28,,7,0,1,0,0,,TAITTINGER BRUT ROSE  750 ML
58229,THREE BITCHES WHEAT VODKA,0,,17.99,14,289,26,,7,0,1,0,0,,THREE BITCHES WHEAT VODKA 750 ML
58230,MALKA PALE ALE 11.2OZ NR CASE,6,,75.99,0,607,21,8,,0,1,0,0,78230,MALKA PALE ALE 11.2OZ NR CASE 24-PACK
58231,MALKA PALE ALE 11.2OZ NR 4PK,6,,12.99,-3,607,21,2,,0,1,0,1,78230,MALKA PALE ALE 11.2OZ NR 4PK 4-PACK
58232,BUD REGULAR 7OZ NR UNIT,6,,1,0,538,21,1,14,0,1,0,2,78463,BUD REGULAR 7OZ NR UNIT 7 OZ SINGLE
58233,RED BRIDGE GLUT FREE NR SNG,6,,1.5,0,607,21,1,,0,1,0,2,83521,RED BRIDGE GLUT FREE NR SNG SINGLE
58235,BEACH HAUS HOPBAHN DBL IPA SNG,6,,2.5,3,607,21,1,,0,1,0,2,82286,BEACH HAUS HOPBAHN DBL IPA SNG SINGLE
58236,BEACH HAUS HERB'S RYE CASE,6,,9.99,2,607,21,3,,0,1,0,1,78238,BEACH HAUS HERB'S RYE CASE 6-PACK
58237,BEACH HAUS HERB'S RYE CASE,6,,2.5,5,607,21,1,,0,1,0,2,78238,BEACH HAUS HERB'S RYE CASE SINGLE
58238,BEACH HAUS HERB'S RYE CASE,6,,35.99,0,607,21,8,,0,1,0,0,78238,BEACH HAUS HERB'S RYE CASE 24-PACK
58241,HEAVY SEAS TROPI CANNON ,6,,2.5,0,607,21,1,,0,1,0,2,89154,HEAVY SEAS TROPI CANNON  SINGLE
58242,VON HOVEL SCHARZ KAB RIES '14,0,,24.99,2,382,35,,7,0,1,0,0,,VON HOVEL SCHARZ KAB RIES '14 750 ML
58243,NOGNE-O PECULIER ALE 500ML,0,,8.49,5,277,21,,6,0,1,0,0,,NOGNE-O PECULIER ALE 500ML 500 ML
58245,PORT BREW SANTA'S BBA LTL 12OZ,0,,14.99,4,607,21,,15,0,1,0,0,,PORT BREW SANTA'S BBA LTL 12OZ [SANTA BBA LTL 12OZ] 12 OZ
58247,HAPPY HOLIDAY GIFT BAG,0,,2.99,3,432,46,,,0,1,0,0,,HAPPY HOLIDAY GIFT BAG
58248,FLYING DOG THE TRUTH CS,6,,40.99,1,607,21,8,,0,1,0,0,78248,FLYING DOG THE TRUTH CS 24-PACK
58249,FLYING DOG THE TRUTH 6PK,6,,10.99,0,607,21,3,,0,1,0,1,78248,FLYING DOG THE TRUTH 6PK 6-PACK
58252,ENAMORE RENACER MALBEC 2011,0,,21.99,0,386,57,,7,0,1,1,0,,ENAMORE RENACER MALBEC 2011 750 ML ST91
58255,BEACH HAUS KRAMPUS 22OZ,0,,9.99,4,607,21,,20,0,1,0,0,,BEACH HAUS KRAMPUS 22OZ 22 OZ
58256,TERRAPIN MOO-HOOCHIATO 16.9OZ,0,,10.99,-7,607,21,,16,0,1,0,0,,TERRAPIN MOO-HOOCHIATO 16.9OZ [MOO-HOOCHIATO 16.09O] 16 OZ
58258,FEW BARREL GIN ,0,,44.99,4,279,22,,7,0,1,0,0,,FEW BARREL GIN  750 ML
58259,SMITH&FORGE HD CIDER CAN 4/6PK,6,,43.99,0,613,21,8,,0,1,0,0,78259,SMITH&FORGE HD CIDER CAN 4/6PK 24-PACK
58260,SMITH&FORGE HD CIDER CAN 4/6PK,6,,7.99,-4,613,21,3,,0,1,0,1,78259,SMITH&FORGE HD CIDER CAN 4/6PK 6-PACK
58261,HUNDRED ACRE ANCIENT WAY,0,,239.99,6,521,33,,7,0,1,0,0,,HUNDRED ACRE ANCIENT WAY 750 ML
